 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Head],,,,,,,,,,,,,,,,,,,,,,,,,,,
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits,,,,,,,,,,,,,,,,,,,,,,
2015,1,90,ZYX,X,mm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentNames&Hierarchy],,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Parent,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentData],,,,,,,,,,,,,,,,,,,,,,,,,,,
 Frame# ,,Segment1,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,XToGlobal1,YToGlobal1,ZToGlobal1,VxToGlobal1,VyToGlobal1,VzToGlobal1,VrToGlobal1,AxToGlobal1,AyToGlobal1,AzToGlobal1,ArToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,ExToGlobal1,EyToGlobal1,EzToGlobal1,EVxToGlobal1,EVyToGlobal1,EVzToGlobal1,EAxToGlobal1,EAyToGlobal1,EAzToGlobal1,Segmentlength1,
41,1.7643E+12,-1198.89502,-105.959724,-168.64151,51.080933,6.147537,41.107407,65.854935,376.721191,9425.198242,-699.67804,9458.637695,-0.082123,-0.012296,0.141436,0.986459,-9.526297,-0.058961,16.323547,13.462775,-7.469557,2.973758,-5789.426758,1852.773804,861.397522,93.047661, 
42,1.7643E+12,-1198.165283,-106.489525,-168.256226,59.425049,5.413857,35.947952,69.662773,1125.219727,-9557.260742,-229.023743,9625.996094,-0.077046,-0.011185,0.141379,0.986889,-8.930374,-0.016741,16.306448,17.466148,3.31169,3.110189,6510.033691,87.850632,-836.839966,93.047661, 
43,1.7643E+12,-1197.958496,-105.49353,-168.514679,42.143555,20.978737,5.707397,47.421104,-4235.888672,12358.93945,-5214.276367,14066.79785,-0.081727,-0.011431,0.13993,0.986717,-9.467169,0.017985,16.141539,2.660759,3.462537,-8.190392,-9175.003906,-60.698101,-1197.264648,93.047661, 
44,1.7643E+12,-1197.240479,-106.175621,-168.120636,41.616211,14.125671,6.101532,44.369724,4140.966797,-13592.49121,5285.220215,15160.375,-0.077766,-0.010857,0.141361,0.986839,-9.007,0.031931,16.301361,-3.448147,2.190256,-0.228886,8075.400879,-168.3125,2630.335693,93.047661, 
45,1.7643E+12,-1196.852417,-106.062279,-168.404633,49.77356,-25.593681,4.952087,56.186893,-2672.644043,6443.007812,-5492.120117,8877.993164,-0.080371,-0.011122,0.141483,0.98661,-9.307749,0.045629,16.317774,7.173892,1.244,7.93061,-6163.434082,-2.013621,-1161.626343,93.047661, 
46,1.7643E+12,-1196.366699,-105.668312,-168.160873,39.320068,22.828903,-1.810684,45.502804,791.015625,2273.057617,4274.821289,4905.771484,-0.081524,-0.011452,0.141875,0.986455,-9.444317,0.030915,16.366072,-19.679245,-0.045711,2.911937,1329.869019,-230.134384,258.265259,93.047661, 
47,1.7643E+12,-1195.922119,-105.034233,-168.057526,41.863403,46.262054,15.619812,64.317192,-333.215332,1944.909668,-1137.332153,2277.549316,-0.086354,-0.011349,0.142012,0.986026,-9.992476,0.122936,16.380518,-30.812679,3.478798,2.82349,-3333.887207,864.546021,-274.185822,93.047661, 
48,1.7643E+12,-1195.585449,-105.05558,-168.099258,35.15625,27.572937,2.772675,44.765125,-874.072266,-5308.950684,-1175.152588,5507.262695,-0.086045,-0.01223,0.142273,0.986005,-9.971636,0.021018,16.419487,-23.729362,-0.445368,2.403692,4608.884277,-1570.895752,198.62233,93.047661, 
49,1.7643E+12,-1195.173828,-105.041306,-167.987793,33.673096,-0.31826,3.13797,33.820488,607.104492,288.535309,1240.905762,1411.267334,-0.085502,-0.012505,0.142597,0.986002,-9.914419,-0.015788,16.459671,3.512537,-6.242547,3.561912,294.65741,527.403687,9.857206,93.047661, 
50,1.7643E+12,-1194.585449,-105.074036,-167.707993,45,-0.830498,17.606964,48.329029,1431.738281,-380.738068,1363.513184,2013.455811,-0.084406,-0.012513,0.142256,0.986145,-9.789731,-0.038077,16.42034,8.18573,-2.659267,0.038397,546.517334,117.586655,-644.089966,93.047661, 
51,1.7643E+12,-1194.064697,-104.954002,-167.359573,49.910889,3.928642,28.269882,57.495369,-547.77832,1237.383301,555.812073,1462.909912,-0.084592,-0.012963,0.142341,0.986111,-9.818294,-0.085017,16.434614,4.325621,-3.115341,-1.127573,-1241.336914,-199.680038,434.215363,93.047661, 
52,1.7643E+12,-1193.268433,-105.459091,-166.996338,59.265747,-17.327499,32.02446,69.557434,2231.652832,-5063.48877,120.011902,5534.762695,-0.079644,-0.011293,0.14294,0.986457,-9.227747,0.02797,16.487545,25.289257,2.972078,3.024259,5014.791504,1295.415649,313.114441,93.047661, 
53,1.7643E+12,-1192.775757,-105.27005,-166.807953,58.002319,-14.222145,24.822922,64.67392,-2459.069824,5622.452637,-1416.288818,6298.005371,-0.08003,-0.011993,0.143234,0.986375,-9.283255,-0.041981,16.528002,24.076754,1.936653,4.202407,-5233.041992,-1481.792236,-101.047791,93.047661, 
54,1.7643E+12,-1192.217529,-105.065399,-167.012924,47.290649,17.716141,-0.746384,50.505684,530.969238,126.438904,-3186.186279,3232.599121,-0.081371,-0.010882,0.142958,0.986318,-9.417534,0.103035,16.485706,-8.540417,3.377921,-0.082769,-638.048706,1741.220459,-670.283875,93.047661, 
55,1.7643E+12,-1191.719727,-104.982361,-166.64212,47.521362,12.946014,7.462463,49.815334,-489.440918,-985.061646,4663.778809,4791.73584,-0.079538,-0.011265,0.143337,0.986408,-9.215243,0.033137,16.533112,3.060543,3.380287,0.229931,2726.221436,-1740.794434,726.569885,93.047661, 
56,1.7643E+12,-1191.298584,-104.755348,-166.545517,41.352539,13.952293,21.033325,48.446877,-620.947266,1166.191895,-2221.023438,2584.28418,-0.079845,-0.012174,0.143083,0.98641,-9.265197,-0.066924,16.512308,6.855192,-7.648148,1.197116,-2043.184448,-244.323837,-552.476685,93.047661, 
57,1.7643E+12,-1191.085327,-104.414253,-166.603134,28.547974,25.564842,1.754379,38.361774,-1683.874512,924.066895,-1249.186768,2291.244385,-0.082088,-0.013415,0.143983,0.986078,-9.540996,-0.161421,16.628195,-14.658878,-8.755084,4.278748,-1829.348389,45.075287,1107.170532,93.047661, 
58,1.7643E+12,-1190.539062,-104.441948,-166.751266,34.178467,14.103012,-9.258728,38.115437,2697.363281,-2987.196289,-733.172607,4091.04541,-0.08368,-0.013282,0.143422,0.986028,-9.71986,-0.125473,16.562416,-20.459843,-2.634678,2.254802,785.174744,1056.597778,-1471.480835,93.047661, 
59,1.7643E+12,-1190.040649,-104.333229,-166.426147,47.010498,3.646088,7.964401,47.819584,-387.597656,1104.949951,3833.335938,4008.192871,-0.084216,-0.013577,0.143298,0.985996,-9.785815,-0.15117,16.551153,-11.016877,0.461261,-3.466861,914.55896,-499.328735,441.581421,93.047661, 
